==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_write_throughput","L2 Throughput (Writes)",419.836015MB/s,419.836015MB/s,419.836015MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sysmem_write_throughput","System Memory Write Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",47.958387%,47.958387%,47.958387%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"cf_issued","Issued Control-Flow Instructions",19038,19038,19038
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"cf_executed","Executed Control-Flow Instructions",18426,18426,18426
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ldst_issued","Issued Load/Store Instructions",16797,16797,16797
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ldst_executed","Executed Load/Store Instructions",14951,14951,14951
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_sp","Floating Point Operations(Single Precision)",49210,49210,49210
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",19000,19000,19000
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",15105,15105,15105
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
